job_title_normalized,category_clean,experience_bucket,state_region,avg_salary_myr
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Selangor,2100.0
Admin / Support,Accounting,1-3,Selangor,3000.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Kuala Lumpur,2150.0
General - Manufacturing & Logistics,"Manufacturing, Transport And Logistics",1-3,Johor,3400.0
HR Executive,Human Resources And Recruitment,1-3,Penang,2600.0
HR Executive,Human Resources And Recruitment,4-5,Kuala Lumpur,4150.0
Administrator / Office Executive,Administration And Office Support,Intern/<1,Selangor,3000.0
Finance Analyst,Accounting,1-3,Selangor,4000.0
Software Developer,Information And Communication Technology,4-5,Kuala Lumpur,10000.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Penang,2500.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,2916.5
Internship - Accounting,Accounting,1-3,Selangor,950.0
General - Accounting,Accounting,1-3,Selangor,4375.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Selangor,2900.0
General - Engineering,Engineering,1-3,Johor,4250.0
Admin / Support,Accounting,1-3,Kuala Lumpur,2600.0
HR Executive,Human Resources And Recruitment,1-3,Selangor,3500.0
General - Sales,Sales,1-3,Kuala Lumpur,4000.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",Intern/<1,Kedah,3500.0
General - Sales,Sales,1-3,Penang,3400.0
Admin / Support,Accounting,1-3,Selangor,5000.0
General - Accounting,Accounting,1-3,Selangor,21500.0
General - Accounting,Accounting,1-3,Kuala Lumpur,3000.0
Admin / Support,Accounting,Intern/<1,Johor,2750.0
HR Executive,Human Resources And Recruitment,6-10,Penang,8650.0
Internship - IT,Information And Communication Technology,1-3,Pahang,800.0
General - IT,Information And Communication Technology,Intern/<1,Selangor,3100.0
Admin / Support,Accounting,1-3,Kuala Lumpur,5000.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Johor,4000.0
Direct Sales / Advisors / Consultants,Sales,1-3,Selangor,5000.0
Admin / Support,Accounting,Intern/<1,Penang,2750.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kuala Lumpur,3250.0
Engineer,Engineering,1-3,Perak,3750.0
Administrative / Assistance,Sales,Intern/<1,Selangor,2500.0
Management / Project Management - Construction,Construction,Intern/<1,Selangor,3000.0
Software Developer,Information And Communication Technology,4-5,Selangor,6250.0
Operations / Service Coordinator,Administration And Office Support,1-3,Selangor,1750.0
Management / Leadership,Sales,1-3,Kuala Lumpur,3000.0
General - Accounting,Accounting,1-3,Penang,3150.0
Management / Leadership,Sales,6-10,Selangor,7000.0
Engineer,Engineering,1-3,Selangor,4750.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Selangor,2750.0
Talent Acquisition / Sourcing Specialist,Human Resources And Recruitment,1-3,Kuala Lumpur,4500.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Johor,3400.0
General - Sales,Sales,Intern/<1,Selangor,3200.0
General - Accounting,Accounting,1-3,Johor,3050.0
Direct Sales / Advisors / Consultants,Sales,6-10,Kuala Lumpur,14500.0
Engineer,Engineering,1-3,Selangor,4500.0
General - Sales,Sales,1-3,Selangor,4250.0
General - Accounting,Accounting,4-5,Selangor,11000.0
Engineer,Engineering,6-10,Penang,8500.0
General - Accounting,Accounting,Intern/<1,Kuala Lumpur,3175.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,2650.0
HR Executive,Human Resources And Recruitment,4-5,Selangor,5000.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Selangor,4175.0
General - Banking & Finance,Banking And Financial Services,1-3,Kuala Lumpur,5500.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Johor,3500.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kuala Lumpur,11522.500000000002
General - Accounting,Accounting,6-10,Johor,7400.0
Engineer,Engineering,1-3,Kuala Lumpur,6000.0
Cost Accountant / Cost Controller,Accounting,1-3,Kuala Lumpur,11000.0
Management / Project Management - Construction,Construction,Intern/<1,Melaka,6000.0
General - Sales,Sales,Intern/<1,Kuala Lumpur,5000.0
General - Banking & Finance,Banking And Financial Services,1-3,Kuala Lumpur,6000.0
General - Accounting,Accounting,1-3,Selangor,4250.0
General - IT,Information And Communication Technology,1-3,Selangor,4150.0
General - Accounting,Accounting,6-10,Selangor,8500.0
Company Secretary,Accounting,1-3,Johor,850.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Johor,4250.0
Engineer,Engineering,1-3,Johor,3500.0
General - IT,Information And Communication Technology,6-10,Kuala Lumpur,1672.0
General - Banking & Finance,Banking And Financial Services,1-3,Kuala Lumpur,900.0
General - Accounting,Accounting,4-5,Johor,5000.0
HR Executive,Human Resources And Recruitment,1-3,Johor,2400.0
HR / Recruitment Executive,Human Resources And Recruitment,1-3,Selangor,3750.0
Internship - Accounting,Accounting,1-3,Selangor,700.0
General - Accounting,Accounting,4-5,Penang,3000.0
General - IT,Information And Communication Technology,1-3,Selangor,4210.0
General - Accounting,Accounting,1-3,Kuala Lumpur,3916.5
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Selangor,2200.0
General - IT,Information And Communication Technology,1-3,Kuala Lumpur,3650.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Sabah,4250.0
Admin / Support,Accounting,4-5,Johor,5650.0
General - IT,Information And Communication Technology,1-3,Penang,5000.0
Recruitment Consultant / Recruiter,Human Resources And Recruitment,1-3,Kuala Lumpur,4500.0
General - Accounting,Accounting,1-3,Kuala Lumpur,3500.0
Engineer,Engineering,6-10,Selangor,5000.0
Administrative / Assistance,Sales,1-3,Kuala Lumpur,4500.0
General - IT,Information And Communication Technology,1-3,Selangor,4350.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Kuala Lumpur,3300.0
Engineer,Engineering,Intern/<1,Sabah,3000.0
Technician,Engineering,4-5,Johor,3750.0
Admin / Support,Accounting,1-3,Kuala Lumpur,2150.0
General - IT,Information And Communication Technology,Intern/<1,Kuala Lumpur,4250.0
General - Sales,Sales,4-5,Selangor,11000.0
General - IT,Information And Communication Technology,4-5,Kuala Lumpur,3350.0
